"","strID","varE","varO","varA"
"1","113-22-008",0.103299449197485,9.96317193722771e-12,0.0746797740197788
"2","113-22-015",0.103299449197485,9.96317193722771e-12,0.112944530428485
"3","113-22-018",0.103299449197485,9.96317193722771e-12,0.139951821296197
"4","113-32-004",0.103299449197485,9.96317193722771e-12,0.135154397837604
"5","113-32-005",0.103299449197485,9.96317193722771e-12,0.104757898026676
"6","113-41-019",0.103299449197485,9.96317193722771e-12,4.03136283175654e-11
"7","113-41-032",0.103299449197485,9.96317193722771e-12,0.245348600788433
"8","113-41-034",0.103299449197485,9.96317193722771e-12,0.18548695336192
"9","113-41-042",0.103299449197485,9.96317193722771e-12,0.152866775392499
"10","113-42-002",0.103299449197485,9.96317193722771e-12,0.231251494896727
"11","113-42-003",0.103299449197485,9.96317193722771e-12,0.314634528888753
"12","113-43-002",0.103299449197485,9.96317193722771e-12,0.158989017945892
"13","113-43-005",0.103299449197485,9.96317193722771e-12,0.0818504196857641
"14","113-44-003",0.103299449197485,9.96317193722771e-12,0.0682756328068306
"15","113-44-005",0.103299449197485,9.96317193722771e-12,0.29918362849805
"16","113-62-006",0.103299449197485,9.96317193722771e-12,0.147912190799128
"17","113-62-008",0.103299449197485,9.96317193722771e-12,0.228672294963577
"18","113-64-001",0.103299449197485,9.96317193722771e-12,0.149610056456458
"19","113-65-004",0.103299449197485,9.96317193722771e-12,0.195528445209918
"20","113-65-005",0.103299449197485,9.96317193722771e-12,0.125005501381972
"21","113-66-003",0.103299449197485,9.96317193722771e-12,0.0825350001132848
"22","113-66-006",0.103299449197485,9.96317193722771e-12,0.106314059765373
"23","113-72-004",0.103299449197485,9.96317193722771e-12,0.0643912916737841
"24","113-73-003",0.103299449197485,9.96317193722771e-12,0.0396000576615843
"25","113-73-004",0.103299449197485,9.96317193722771e-12,0.0669545902793463
"26","113-73-006",0.103299449197485,9.96317193722771e-12,0.112256856507889
"27","113-73-010",0.103299449197485,9.96317193722771e-12,0.0330327101242933
"28","113-73-012",0.103299449197485,9.96317193722771e-12,4.5432862753352e-11
"29","113-81-003",0.103299449197485,9.96317193722771e-12,0.0375150714525654
"30","113-81-010",0.103299449197485,9.96317193722771e-12,0.0569062206642003
"31","113-81-011",0.103299449197485,9.96317193722771e-12,0.0916780513184661
"32","113-95-003",0.103299449197485,9.96317193722771e-12,0.0726103263486005
"33","113-95-004",0.103299449197485,9.96317193722771e-12,0.0352100470135948
"34","113-95-006",0.103299449197485,9.96317193722771e-12,0.0871821280476243
"35","113-95-007",0.103299449197485,9.96317193722771e-12,0.0275071037900867
"36","113-96-002",0.103299449197485,9.96317193722771e-12,0.146675107963803
