Brood Year,Egg Source,Egg Take,Number Released,Size (g),Date,Freshwater Survival %,Ocean Survival %
1975,Indian river 91% - Katlian River 9%,"1,747,935","1,653,666",0.28,3/24-5/22,95,7.9
1976,Starrigavin 97% - Indian River 3%,"1,949,664","1,593,184",0.32,3/4-4/15,81.72,0.4
1977,Hatchery,"10,226,500","7,147,974",0.29,2/7-5/8,69.9,1
1978,Hatchery,"2,477,472","2,376,944",0.28,3/17-5/15,95.94,0.2
1979,Hatchery,"9,551,000","7,883,250",0.27,3/1-4/30,82.54,2.6
1980,Hatchery,"2,248,968","2,062,139",0.29,4/1-4/24,91.69,2
1981,Hatchery,"13,697,711","10,689,600",0.29,4/19-5/17,78.04,1.6
1982,Hatchery,"13,774,600","9,993,123",0.26,3/29-4/21,72.55,1.8
1983,Hatchery,"15,117,000","14,536,624",0.24,3/19-5/8,96.16,2.3
1984,Hatchery,"12,102,000","11,070,423",0.28,4/19-5/4,91.48,0.5
1985,Hatchery,"11,340,010","10,050,822",0.25,4/4-5/17,88.63,0.6
1986,Hatchery,"15,015,110","14,200,000",0.25,4/2-5/1,94.57,0.06
1987,Hatchery,"14,783,715","14,250,000",0.39,1-May,96.39,0.07
1988,Hatchery,"3,264,000","2,950,000",0.55,12-May,90.38,0.25
1989,Hatchery,"5,846,000","5,400,000",0.53,4/2-5/8,92.37,0.3
1990,Hatchery,"2,940,000","2,700,000",0.58,10-May,91.84,0.63
1991,Hatchery,"9,517,109","9,146,735",0.47,4/19 to 28,96.11,0.04
1992,Hatchery,"7,236,522","6,954,339",0.24,3-May,96.1,4.38
1993,Hatchery,"916,619","348,000",0.68,27-Apr,79.43,6.8
1994,Hatchery,"10,800,604","7,134,674",0.96,19-Apr,66,5.4
1995,Hatchery,"8,911,063","8,067,280",0.35,23-Apr,89,5.54
1996,Hatchery,"12,518,798","10,000,000",0.89,18-Apr,86.87,3.62
1997,Hatchery,"5,651,192","4,500,000",0.48,7-May,79.76,2.8
1998,Hatchery,"10,182,193","3,779,737",0.36,27-Apr,37,4.82
1999,Hatchery,"6,778,092","1,650,234",0.54,25-May,26.43,4
2000,Hatchery,"5,888,519","5,327,708",0.8,31-May,90,4
2001,Hatchery,"900,000","861,422",0.9,24-May,96,0.4
2002,Hatchery,"2,345,661","2,300,000",1.19,21-Apr,98,4
2003,Hatchery,"803,200","37,000",0.71,25-May,4.6,4
2004,Hatchery,"1,891,790","1,749,500",1.85,18-May,92.5,4
2005,Hatchery,"1,526,081","1,155,000",2.38,9-May,94.2,8.9
2006,Hatchery,"1,171,848","1,154,284",2.99,9-May,94.2,9.7
2007,Hatchery,"1,064,909","1,016,500",1.51,27-May,95.5,3.2
2008,Hatchery,"1,131,859","1,079,283",1.63,29-May,95.4,1.8
2009,Hatchery,"1,040,102","994,000",1.1,8-May,95.6,5.2
2010,Hatchery,"1,075,427","704,856",1.5,25-May,66.5,2.4
2011,Hatchery,"3,239,267","2,625,000",1.45,30-May,81,7.5
2012,Hatchery,"3,238,857","2,600,080",1.16,12-May,80.3,3.9
2013,Hatchery,"3,431,387","2,971,630",1.82,5/5/2012,86.6,4.1
2014,Hatchery,"3,300,000","2,902,360",2.1,"4/24, 4/28",85.4,6.6
2015,Hatchery,"2,627,737","2,437,062",2,29-Apr,92.7,2.8
2016,Hatchery,"2,552,197","2,303,969",1.7,5/1/2017,90.3,5.5
2017,Hatchery,"2,555,105","2,526,914",1.62,30-Apr,94.9,9.8
2018,Hatchery,"2,961,562","2,724,676",1.84,30-Apr,91.2,9.8
2019,Hatchery,"2,861,159","2,819,195",2.01,11-May,92.1,13
2020,Hatchery,"3,901,782","3,147,210",1.9,5-May,95,21
2021,Hatchery,"3,106,183","3,100,883",1.4,11-May,94,
2022,Hatchery,"3,345,000",,,,,
