strID,var,sclvar,STREAM
113-65-005,0.0000000000000369339666352281,-0.868155825,Fish Bay S Side Head
113-81-010,0.0000000000000798456854646737,-0.868155825,Black Bay North Head
113-95-006,0.0000000000008543564486656840,-0.868155825,Lisianski River
113-81-003,0.0000000000021743276547418000,-0.868155825,Goulding Harbor Head
113-44-003,0.0000000000032673425560822400,-0.868155825,Katlian River
113-66-006,0.0000000000078676370726543600,-0.868155825,St. John Baptist Hd
113-73-004,0.0000000000079662056882851100,-0.868155825,South Ford Arm
113-66-003,0.0000000000081242153957848100,-0.868155825,Marine Cove
113-95-007,0.0000000000099594020838107000,-0.868155825,Steelhead R SW Lis I
113-73-012,0.0000000000181977758680823000,-0.868155825,Khaz Creek
113-73-010,0.0000000000187608703258144000,-0.868155825,Slocum Arm Head
113-41-019,0.0000000000208498789540983000,-0.868155825,Indian River
113-73-003,0.0195115586742451000000000000,-0.779755346,Lake Stream Ford Arm
113-81-011,0.0272779198185774000000000000,-0.744568508,Black River
113-95-004,0.0325272014258908000000000000,-0.720785733,Phonograph Ck Lis In
113-32-004,0.0380492029939484000000000000,-0.695767354,W Crawfish N Arm NE
113-42-002,0.0389240627294954000000000000,-0.691803651,Limit Ck Nakwasina P
113-32-005,0.0483136782006375000000000000,-0.64926238,W Crawfish NE Arm Hd
113-43-005,0.0563979749215567000000000000,-0.61263508,Liza Ck NakwasinaSnd
113-41-034,0.0634330399231537000000000000,-0.580761506,Camp Coogan
113-43-002,0.0649155430995053000000000000,-0.57404477,Nakwasina River
113-65-004,0.0679086407977890000000000000,-0.560484025,Fish Bay Creek
113-22-008,0.0759941777164687000000000000,-0.523851107,Politofski Lk Outlet
113-72-004,0.0853679608413899000000000000,-0.481381567,Rust Crk Sister Lake
113-64-001,0.0933334803363898000000000000,-0.445292408,Deep Bay Head
113-96-002,0.0992546049805320000000000000,-0.418465733,Saltery Rvr Stag Bay
113-95-003,0.1071813203559740000000000000,-0.382552383,Pelican Creek
113-41-042,0.1205105429502820000000000000,-0.322162043,Kizhuchia Ck Red Bay
113-41-032,0.1231842442070900000000000000,-0.310048378,Salmon Lake Stream
113-73-006,0.1410210803557290000000000000,-0.229235518,Waterfall Cove Creek
113-22-018,0.1413541182337220000000000000,-0.227726633,Whale Bay Grt Arm E
113-62-006,0.1437624858905260000000000000,-0.216815108,Sukoi Inlet W Side
113-44-005,0.1735830137146870000000000000,-0.081708068,Katlian Bay S. Fork
113-22-015,0.1778510371725280000000000000,-0.062371052,Whale Bay Grt Arm Hd
113-62-008,0.1842201301826320000000000000,-0.033514779,Sinitsin Cove Head
113-57-005,0.1902059243745110000000000000,-0.006395107,Patterson Bay W Head
113-42-003,0.1980893812611180000000000000,0.029322253,Noxen Creek
113-58-002,0.2189611004483320000000000000,0.123885174,Hoonah Snd N Arm Wst
113-59-007,0.2261824734583580000000000000,0.156602849,Sitkoh Bay Head
113-57-009,0.2463304103481800000000000000,0.247886549,Hoonah Snd S Arm Hd
113-56-002,0.2700159575039560000000000000,0.355198002,Ushk Bay SW End
113-54-007,0.2993241799836730000000000000,0.487983954,Rodman Creek
113-56-003,0.3054411357375680000000000000,0.515697877,Ushk Bay W End
113-57-001,0.3198927954422750000000000000,0.581173611,Fick Cove Head
113-51-004,0.3855378341096510000000000000,0.878589771,Peril Sts N-False Is
113-53-003,0.4071877510277370000000000000,0.976678451,Saook Bay West Head
113-52-004,0.4216604683087220000000000000,1.042249591,Hanus Bay
113-51-002,0.5977375984268800000000000000,1.839997372,Oly Creek
113-51-001,0.6123012779968680000000000000,1.905980632,Broad Creek
113-57-002,0.6511017005866370000000000000,2.081772633,Hoonah Snd S Arm SW
113-55-005,0.6601631761119500000000000000,2.122827209,West Broad Creek
113-59-004,0.7161730912768800000000000000,2.376589782,Sitkoh Lake Creek
113-55-001,0.7264666836676100000000000000,2.423226676,Finger River
113-54-005,0.7706917034110950000000000000,2.623595749,Appleton Cove W Head
